2	4
3	8
5	5
6	3
7	1
8	3
9	10
10	1
14	1
15	1
16	3
18	20
19	6
20	5
21	7
22	13
23	9
24	4
25	14
26	3
27	19
28	14
29	8
30	2
32	5
33	1
35	22
36	5
37	2
39	3
40	6
41	15
43	3
45	2
46	2
47	3
48	2
49	3
50	2
51	3
52	2
53	2
54	2
100	6
101	1
102	2
104	4
105	1
106	6
107	2
108	2
111	2
114	6
115	3
116	2
117	2
209	2
210	1
214	1
220	1
223	1
225	2
231	1
232	2
237	1
243	1
244	1
246	1
248	2
249	2
251	1
259	1
261	3
264	1
270	1
283	1
289	2
291	3
292	1
301	1
303	1
307	1
311	2
312	1
315	1
323	1
325	1
332	4
337	7
339	3
345	2
347	2
352	2
355	2
362	1
365	1
366	1
369	1
370	2
371	3
372	1
376	2
378	2
380	2
383	1
384	2
388	2
394	1
397	1
400	1
900	3
901	8
902	1
903	12
906	9
907	13
908	19
909	12
910	1
