2	3
3	10
4	1
5	4
6	2
7	5
8	3
9	8
10	3
11	1
14	2
15	1
16	3
18	20
19	7
20	5
21	7
22	13
23	9
24	4
25	15
26	4
27	19
28	14
29	8
30	2
32	4
33	3
35	16
36	3
37	2
38	2
39	5
40	6
41	13
43	4
44	3
45	2
46	1
47	2
48	2
49	3
50	2
51	1
52	3
53	2
54	3
100	6
101	2
102	3
104	4
105	2
106	7
107	2
108	1
109	1
111	1
112	1
114	4
116	1
200	2
210	1
214	1
223	1
225	2
230	2
231	1
232	1
238	1
243	1
244	1
248	3
249	3
251	2
259	1
261	1
264	1
268	2
275	1
276	1
281	2
289	4
294	1
303	1
307	1
310	3
311	1
312	1
323	1
325	1
327	1
331	1
332	5
337	8
339	3
343	1
344	1
345	1
347	1
352	3
355	1
356	1
362	1
365	1
366	2
369	1
370	1
371	1
372	1
376	3
378	1
380	2
384	2
388	3
394	1
397	1
400	1
900	5
901	8
902	2
903	12
906	11
907	12
908	19
909	10
910	1
