2	1331
3	738
5	2277
6	388
7	10460
8	724
9	19281
10	1
11	1259
13	458
14	1437
15	20
18	29704
19	2006
20	1807
21	3070
22	4848
23	9761
24	305
25	14867
26	8494
27	29375
28	22584
29	5592
30	446
35	25193
36	3576
37	1717
38	904
39	12393
40	7695
41	34263
43	3
45	7
46	85
47	74
48	378
49	2022
50	738
52	1185
53	13
100	108
104	5297
106	7488
107	320
108	130
109	59
112	68
113	75
114	12601
115	671
117	192
118	27
119	100
120	21
200	2761
201	15
202	1881
203	301
206	53
207	94
210	15
212	740
214	1453
215	1077
216	219
219	4397
221	1201
223	99
227	56
228	16
229	2
230	1502
231	747
232	245
233	6
234	517
235	59
236	13
238	526
243	20
244	266
248	467
249	326
251	24
252	1
255	673
256	536
258	797
260	132
261	3383
262	162
263	1
264	411
265	10
266	1
268	23
269	9
270	427
271	12
273	150
274	611
275	252
276	265
277	54
281	676
283	71
284	3
287	52
289	1358
291	7
292	131
293	26
294	1277
295	2994
297	169
298	14
299	7
300	298
301	1610
302	82
303	1733
304	280
306	632
309	4
310	1381
311	1132
312	22
316	11
317	78
318	1
319	370
321	3
323	107
324	234
325	329
326	50
327	699
329	24
330	36
331	1292
332	7646
333	59
334	49
335	47
337	426
338	1518
339	3332
340	227
343	1095
344	558
345	196
346	216
347	90
349	168
350	47
351	501
352	1450
353	667
354	2
355	1463
356	535
362	314
363	472
365	37
366	493
367	84
368	200
369	18
370	51
371	6
372	33
373	28
374	23
375	14
376	224
377	121
378	157
379	5
380	46
381	39
382	55
383	8
384	30
385	6
386	70
387	59
388	524
389	3
390	7
391	26
392	292
393	24
394	72
395	46
396	13
397	33
398	34
399	154
400	28
401	61
